"Run","Algorithm","value"
60,"stray",0.0310000000000059
60,"lookoutNew",0.106999999999999
60,"lookoutOld",0.0819999999999936
60,"HDoutliers",0.0120000000000005
60,"kdeos",0.187000000000012
60,"rdos",2.62800000000001
61,"stray",0.0289999999999964
61,"lookoutNew",0.078000000000003
61,"lookoutOld",0.070999999999998
61,"HDoutliers",0.01400000000001
61,"kdeos",0.180999999999983
61,"rdos",2.72900000000001
62,"stray",0.0310000000000059
62,"lookoutNew",0.0789999999999793
62,"lookoutOld",0.0699999999999932
62,"HDoutliers",0.0159999999999911
62,"kdeos",0.175999999999988
62,"rdos",2.459
63,"stray",0.0279999999999916
63,"lookoutNew",0.0769999999999982
63,"lookoutOld",0.0649999999999977
63,"HDoutliers",0.0110000000000241
63,"kdeos",0.170999999999992
63,"rdos",2.28700000000001
64,"stray",0.0279999999999916
64,"lookoutNew",0.0769999999999982
64,"lookoutOld",0.0670000000000073
64,"HDoutliers",0.00999999999999091
64,"kdeos",0.169000000000011
64,"rdos",2.44800000000001
65,"stray",0.0330000000000155
65,"lookoutNew",0.0779999999999745
65,"lookoutOld",0.0680000000000121
65,"HDoutliers",0.0100000000000193
65,"kdeos",0.170999999999992
65,"rdos",2.33900000000003
66,"stray",0.0339999999999918
66,"lookoutNew",0.0789999999999793
66,"lookoutOld",0.0660000000000025
66,"HDoutliers",0.00999999999999091
66,"kdeos",0.169000000000011
66,"rdos",2.29999999999998
67,"stray",0.0310000000000059
67,"lookoutNew",0.0790000000000077
67,"lookoutOld",0.0720000000000027
67,"HDoutliers",0.0109999999999957
67,"kdeos",0.187000000000012
67,"rdos",2.48699999999999
68,"stray",0.0300000000000011
68,"lookoutNew",0.0879999999999939
68,"lookoutOld",0.0659999999999741
68,"HDoutliers",0.0130000000000052
68,"kdeos",0.215000000000003
68,"rdos",2.72399999999999
69,"stray",0.0289999999999964
69,"lookoutNew",0.0840000000000032
69,"lookoutOld",0.0670000000000073
69,"HDoutliers",0.0110000000000241
69,"kdeos",0.183999999999997
69,"rdos",2.39499999999998
70,"stray",0.0300000000000296
70,"lookoutNew",0.0780000000000314
70,"lookoutOld",0.0710000000000264
70,"HDoutliers",0.0129999999999768
70,"kdeos",0.170999999999992
70,"rdos",2.27300000000002
71,"stray",0.0289999999999964
71,"lookoutNew",0.0780000000000314
71,"lookoutOld",0.0660000000000309
71,"HDoutliers",0.0120000000000005
71,"kdeos",0.194999999999993
71,"rdos",2.584
72,"stray",0.0289999999999964
72,"lookoutNew",0.0840000000000032
72,"lookoutOld",0.0659999999999741
72,"HDoutliers",0.0109999999999673
72,"kdeos",0.168000000000006
72,"rdos",2.31999999999999
73,"stray",0.0240000000000009
73,"lookoutNew",0.0749999999999886
73,"lookoutOld",0.0609999999999786
73,"HDoutliers",0.00999999999999091
73,"kdeos",0.224000000000046
73,"rdos",2.56200000000001
74,"stray",0.0249999999999773
74,"lookoutNew",0.0870000000000459
74,"lookoutOld",0.0640000000000214
74,"HDoutliers",0.0110000000000241
74,"kdeos",0.189999999999998
74,"rdos",2.32599999999996
75,"stray",0.0259999999999536
75,"lookoutNew",0.0739999999999554
75,"lookoutOld",0.0590000000000259
75,"HDoutliers",0.00999999999999091
75,"kdeos",0.18100000000004
75,"rdos",2.43700000000001
76,"stray",0.0339999999999918
76,"lookoutNew",0.0789999999999509
76,"lookoutOld",0.0639999999999645
76,"HDoutliers",0.01400000000001
76,"kdeos",0.182999999999993
76,"rdos",2.53800000000001
77,"stray",0.0320000000000391
77,"lookoutNew",0.0919999999999845
77,"lookoutOld",0.0649999999999977
77,"HDoutliers",0.0110000000000241
77,"kdeos",0.383999999999958
77,"rdos",2.42399999999998
78,"stray",0.0319999999999823
78,"lookoutNew",0.0769999999999982
78,"lookoutOld",0.0640000000000214
78,"HDoutliers",0.0109999999999673
78,"kdeos",0.189999999999998
78,"rdos",2.40600000000001
79,"stray",0.0260000000000105
79,"lookoutNew",0.0790000000000077
79,"lookoutOld",0.0629999999999882
79,"HDoutliers",0.0110000000000241
79,"kdeos",0.165999999999997
79,"rdos",2.26299999999998
80,"stray",0.0310000000000059
80,"lookoutNew",0.0780000000000314
